question_id,cluster_id
308,256
594,465
2688,470
3589,256
3798,384
8145,32
12855,487
12877,233
10499,187
9932,384
11055,221
14698,158
20081,57
18717,108
16568,112
22704,78
23472,296
20811,384
28009,314
26002,296
30062,393
33204,262
27562,490
29699,470
28922,378
30775,1
31885,263
30790,263
37586,423
36813,127
29744,256
38801,108
41838,256
42483,360
36825,215
33903,337
39576,478
39438,296
43866,347
47225,78
38435,303
39777,308
42386,378
41781,415
47279,296
43819,206
40586,293
44005,495
38014,179
44224,296
49602,112
38074,118
48486,296
46380,381
47366,256
19058,496
26746,106
51092,40
52239,397
53365,344
53316,178
43808,495
49355,359
51264,124
51470,208
53379,146
53676,290
55342,244
55899,142
56591,470
57878,314
57179,33
58831,382
56895,462
58540,202
59232,168
59303,444
64875,353
61963,417
62876,17
64781,446
65447,423
67557,234
66542,337
67666,47
69230,289
70170,359
70072,337
70602,263
69764,296
70742,32
71563,347
70721,233
73037,404
72151,346
74010,401
73751,401
73607,339
75267,378
75959,237
79241,314
78952,263
78626,337
79229,127
79266,494
80612,166
81587,161
83040,329
83130,233
83122,263
81448,253
82047,19
83050,125
82235,331
83068,233
83856,51
83991,428
84782,433
83807,219
82644,263
83967,133
84661,212
85006,175
85978,219
85804,146
86987,138
86684,280
85675,462
87230,290
87769,423
87883,303
87603,459
87877,308
89696,1
89320,87
93539,199
95578,301
95950,261
96945,268
101033,70
101184,351
101046,37
101834,347
104066,371
102477,294
102881,0
104791,280
105836,223
103389,437
106323,349
111440,73
114910,242
112812,212
115503,268
116173,237
116639,37
117248,208
116525,325
116760,231
116522,69
117512,308
116938,163
118367,50
119011,360
118190,470
120001,61
120504,264
119540,78
120900,336
121387,449
122302,43
121350,360
122736,325
122772,488
123421,296
123039,174
121631,382
122215,164
122909,86
126421,296
126188,296
126652,198
126720,166
128232,240
129046,314
128527,476
128623,235
131164,383
130500,411
131142,296
132409,89
133993,89
134456,319
134958,405
136034,326
137497,57
138747,457
140153,256
139909,215
140643,43
141232,314
142211,397
142868,138
144175,402
144113,15
144200,89
144167,182
143872,159
147921,176
148136,80
149078,487
148262,290
148648,155
150177,87
151190,464
152837,470
152435,337
152537,499
152441,296
153151,1
153095,359
153815,97
154722,374
155367,289
156032,451
155334,150
156329,197
156697,353
157845,176
158310,387
158189,67
158571,441
159769,112
161093,114
159721,293
160904,378
162255,32
162762,188
163389,32
163980,263
165365,356
166270,303
167916,189
165105,89
166836,78
167471,366
171868,153
169989,234
172278,240
172948,88
173629,263
174297,210
174595,112
174912,287
175055,442
174727,221
177240,193
177284,74
177752,477
179849,296
179365,303
179839,141
180518,382
181344,273
181272,5
181778,47
182262,493
182534,296
182931,206
182073,442
183021,221
182544,168
183642,393
183963,288
185327,157
185638,176
185621,188
186443,423
186403,253
