question_id,title,answer_count,text_length,cluster_id
308,Is there a version control system for database structure changes?,21,3930,911
122302,"As System in Sqlplus, how do I query another user's table?",3,1553,911
466963,Is it possible to kill a single query in oracle without killing the session?,3,3804,911
895839,Is there an easy way to convert HTTP_ACCEPT_LANGUAGE to Oracle NLS_LANG settings?,2,3914,911
1129423,Is it safe/possible to delete code from the table dba_source in Oracle 10g?,1,813,911
1192265,Local Temporary table in Oracle 10 (for the scope of Stored Procedure),3,3925,911
1444401,Data migration process for an application whose architecture is changing?,1,3290,911
2196207,What is the most Oracle compatible open source DBMS?,2,894,911
2514404,How to insert a data field into an empty table,1,982,911
2960512,Why is PHP's OCI8/Oracle oci_bind_array_by_name not working for me?,1,1949,911
3258457,What datatype should I bind as query parameter to use with NUMBER(15) column in Oracle ODBC?,1,3903,911
3584542,Oracle connection prioritizer,1,1402,911
4052195,How well do PHP and Oracle fit together in an enterprise setting?,1,1500,911
4082310,Oracle Create View issue,1,697,911
5320475,Oracle database mirroring,1,1378,911
5682189,"error with oci_fetch_array, can retrieve data from oracle by php",1,968,911
6793681,Accessing Data from Stored Procedure using CallableStatement,2,1739,911
6859248,Binding Data from the Database to a Dropdown List in .NET,3,3433,911
8054622,Passing user defined TABLE type to stored Oracle function,1,955,911
10925178,Oracle Date Literal [DD-MON-RR HH.MI.SSXFF AM],1,2580,911
11315781,getting Oracle materialized view to refresh,2,3574,911
12493845,In my PHP code I use an API to connect to a database. I am getting Warning: simplexml_load_string():,0,1636,911
12950212,"BIN$ tables without ""recycle bin""",2,1835,911
13772554,Toad problems with comments,2,1725,911
14876122,oracle scheduler to rename interval partitions,1,3949,911
15616229,Symfony 2 Doctrine Oracle schema sync,1,1961,911
16706244,Failing to create and execute PL/SQL procedure from SQL*Plus,1,1431,911
16930180,Oracle to Drupal 7 data manipulations,1,752,911
17175243,Hibernate id returns clasCastException,1,1768,911
18567575,How to get checkbox checked value from Treeview in c#?,2,2960,911
19996077,Data from oracle in utf-8 with php,3,2316,911
20041093,Stored procedure in oracle sql,2,3965,911
21236080,Sql developer ORA-29531,1,2308,911
21386873,I'm trying install rpm package but i not able to install rpm,1,1937,911
