question_id,title,answer_count,text_length,cluster_id
308,Is there a version control system for database structure changes?,21,3930,280
3589,Backup SQL Schema Only?,6,2127,280
29744,How do you manage schema upgrades to a production database?,7,3936,280
41838,Black Box testing software,6,2092,280
47366,SQL Compare-Like tool for Oracle?,2,1454,280
140153,How to access Subversion from Oracle PL/SQL?,4,3418,280
261068,notification when alter occurs on oracle database,3,1407,280
269145,Oracle - side-by-side schema update technology...is there any?,3,3243,280
287409,Oracle packages in version control?,5,2731,280
369266,How to document a database,7,3969,280
382720,What is the easiest approach to synchronize and duplicate oracle db schema?,3,1548,280
499171,Migrating an Oracle database with a C# application attached to it: How to manage database migration?,3,3895,280
540617,Best way to test a Delphi application,3,2780,280
560273,How to compare Oracle XML Gateway Message Designer maps? (.xgm),1,1968,280
592444,Rails: rake db:migrate *very* slow on Oracle,2,3951,280
706026,"How do you work on Oracle packages in a collaborative, version-controlled environment?",7,3909,280
785544,Any good C# code generator for using oracle stored procedures?,3,1173,280
859039,Oracle compile view sql,0,520,280
870528,Scripting out Oracle objects,3,1477,280
936576,SQL Server 2000/2005 - Maintaining Development Version and Production Version,1,1220,280
971792,Is there an easy way to backup Oracle SQL Developer's User Snippets?,7,2649,280
1077797,Oracle to SQL Server Migration verification,1,1532,280
1101390,Oracle SQL Developer: sharing configuration via Dropbox,3,3110,280
1150667,Track changes on a database,1,2340,280
1161116,Version configuration from SQL,1,3965,280
1262534,"Oracle DDL/DML script, PL/SQL in Source Control",6,3948,280
1277085,version control for Oracle 10g Express,2,1166,280
1296835,Automated Oracle Schema Migration Tool,5,3474,280
1369686,Recommendations on a sql comparison (schema & data) tool that supports both Oracle and SQL Server?,1,1293,280
1389759,Convert MS SQL script to Mysql and Oracle,3,2720,280
1420139,How do I detect Oracle XE?,2,1198,280
1444401,Data migration process for an application whose architecture is changing?,1,3290,280
1474535,Best way/technology to implement a generic archive process,5,3937,280
1552096,Readonly access to stored procedures,1,717,280
1647926,Oracle Coding Standards Feature Implementation,4,3949,280
1696430,Implementing user-defined db parameters/properties in Oracle,4,3733,280
1717048,Database source control with Oracle,9,3960,280
1825647,Configure Elmah to use existing stored procedure/tables,1,981,280
2052377,Oracle DB versioning scheme,4,1737,280
2146211,Suggestions for an Oracle version control system,3,3947,280
2231448,Errors in database migration scripts,2,3972,280
2329597,Build automation for Delphi + Oracle,3,3959,280
2337508,CI on different database platforms,1,2002,280
2404540,How should I migrate DDL changes from one environment to the next?,4,3929,280
2469905,Providing multi-version databases for backward compatibility for production applications/databases,0,731,280
2499291,How to export Oracle statistics,1,2037,280
2668094,How to (unit-)test data intensive PL/SQL application,4,3943,280
2971758,I want to generate DDL for entire schema in oracle 10 G?,2,592,280
3014223,PL/SQL pre-compile and Code Quality checks in an automated build environment?,3,3918,280
3111451,Creating migration scripts from the legacy model to the current one (being under development),2,3885,280
3130574,Any tools to export the whole Oracle DB as SQL scripts,4,2878,280
3266120,"NHibernate, Oracle and sql instrumentation",1,1966,280
3372546,Oracle updating database with scripts - automation,2,3945,280
3395767,Sql Parser in C# for syntax check Oracle statements,3,2278,280
3576475,Is there a good way to verify if a database schema is correct after an upgrade or migration?,3,3535,280
3866262,"Tools for creating a ""test"" like environment on a development database",2,3925,280
4034998,Migrating and Backing up Schemas (complex database structures),3,1975,280
4081328,Building Oracle DB; Good Directory Layout,4,3954,280
4114476,Testing stored procedures using MSTest (.Net),1,2373,280
4184785,How to export a ddl script from an Oracle 10 schema to create tables and constraints in H2-database?,4,3895,280
4226669,Command line tool/script to script out all Oracle 10g packages/procedures/functions etc.?,2,1678,280
4340214,"Oracle: Adding, renaming, and dropping columns on live database",4,2371,280
4603215,600 tables in DDBB,2,1377,280
4852641,Perceiving objects accessed/updated by DML in Oracle,1,1498,280
5142319,Options for generating create scripts for all objects in Oracle schema,2,1862,280
5816588,"Is there something like a ""column symlink"" in Oracle?",5,3942,280
5889260,Using Schema Compare for Oracle to create deployment script,4,3001,280
6312099,How to achieve test isolation testing Oracle PL/SQL?,4,3943,280
6529663,How to minimize the coupling/dependency between physical DDL changes and PL/SQL changes?,1,1862,280
6611969,How to Deploy Database Changes to a Live Server?,2,2358,280
6750454,Creating re-runnable Oracle DDL SQL Scripts,2,3738,280
6828462,Full Oracle backup from PHP,2,2903,280
6877460,DBIx::Class - best way to add support for 'FOR UPDATE NOWAIT',1,1242,280
6986176,Oracle AFTER/BEFORE CREATE ON DATABASE trigger: how to access object sources,1,1105,280
7244291,C# library for database diff(ing),1,2727,280
7253819,DBUnit oracle possible to determine tables written to after a given test,1,1710,280
7291398,Is there a way to mandate table/column comments in Oracle 11g,1,1618,280
7311868,What is a good way to deploy ASP.NET MVC applications to IIS?,3,1534,280
7440008,Is there any way to apply TDD techniques for dev in PL/SQL,0,561,280
7448546,Refreshing a database or table with management tools,1,568,280
7582090,Anyone had any luck integrating SQL unit tests to run with CI build tool?,2,1844,280
7932860,How to handle versioning with Oracle Apex,3,3848,280
7971550,How do I create automated tests for an Oracle procedure?,2,2455,280
8315977,Setup/tear down Oracle schema for CI build without fragmenting catalog,2,2867,280
8675964,How get copy of objects from oracle database,2,3951,280
8797960,Deploy the same version file in BPEL SOA,1,1209,280
8988177,Entity Framework Oracle and Sql Server - how to build a database independent application,2,2951,280
9081875,Migrating changes from a dev APEX app to production?,0,754,280
9083487,Converting Oracle or Sql Server DDL to Derby,2,1669,280
9195170,diff local package with database package,2,2892,280
9367904,SQL script to update a package,2,2479,280
9827894,Unit Testing DDL with SQL Developer 3.1,2,2967,280
9931766,How to load a many file schema into a database?,1,1416,280
10010380,OpenSource Tool for Schema compare and upgrade Scripts,1,1079,280
10096311,Database build process management,2,2297,280
10145589,Is it possible to migrate Oracle SOA BPEL instances from one environment to another with history,0,885,280
10209334,"Oracle 11g - Create X Instances, for testing",1,1930,280
