question_id,title,answer_count,text_length,cluster_id
308,Is there a version control system for database structure changes?,21,3930,178
296263,What is the meaning of '@' symbol in Oracle SQL?,1,430,178
529098,Removing duplicate rows from table in Oracle,21,3951,178
841388,How do I determine the maximum and minimum value for an Oracle NUMBER column?,1,421,178
1436436,ORA-01000: maximum open cursors exceededwhen using Spring SimpleJDBCCall,6,3923,178
1767040,Delete on batch,2,2087,178
1781419,How to update a table with null values with data from other table at one time?,3,2996,178
1801592,Oracle JDBC connection pooling with database link,1,1383,178
1819522,Is there any logical reason of having different tablespace for indexes?,3,3924,178
1882418,PLSQL with Oracle 11g,3,1100,178
2089100,how to use different oracle character sets in one application,2,1356,178
2094843,Possible to link to another database link?,1,1017,178
2669162,Problem importing Oracle .dmp file,4,3961,178
2680995,Migrate a Django project from MySQL to Oracle,1,2393,178
3006605,sqlplus remove \r \n \t from spool,0,1495,178
3210405,"PHP, Apache & Oracle setup",1,1362,178
3256433,update multiple records in multiple nested tables in oracle,1,3427,178
3834125,How do you make an Oracle SQL query to,2,2484,178
4015042,SQL - extract time and offset from it,2,2352,178
4389228,SQL for Oracle to check if a constraint exists,1,910,178
4399224,ODP.NET: Avoiding Connection Timeouts with Connection Pooling,4,3934,178
4399528,Accessing another user's table within an Oracle Stored Procedure,0,885,178
4577986,"Conditions (like ""like"") on binary field (blob) in oracle",1,417,178
4609843,Submitting multiple jobs in PLSQL using dbms_job.submit - Job not found in queue error,2,3430,178
4959013,odp.net mixes up / caches clob column,2,1185,178
5226938,Infinite loop or repetitive run for daemon,1,1462,178
5250165,Debugging PL/SQL Code,2,2332,178
5339984,Edit the control file in Oracle 10g Release 2,2,2400,178
5495970,"automatic execution of sqlplus scrpts, use set lines, spool commands to create an out put file with the required layout using c#",2,2668,178
5716467,SQL Error: ORA-01403: no data found,2,3638,178
5859576,Generate Oracle SQL scripts from SQLSERVER Database,1,1088,178
6022706,Is there a way to copy BLOB records between databases in Oracle 10g?,3,2394,178
