K,variant,cluster_id,cluster_size
400,baseline_kmeanspp_one_shot,373,301
400,baseline_length_buckets,351,381
400,baseline_pca1_buckets,303,381
400,baseline_random_centroid,391,361
400,baseline_shuffle_size,287,461
400,baseline_uniform_random,178,385
400,kmeans,280,389
800,baseline_kmeanspp_one_shot,161,88
800,baseline_length_buckets,704,190
800,baseline_pca1_buckets,609,190
800,baseline_random_centroid,385,422
800,baseline_shuffle_size,384,156
800,baseline_uniform_random,71,169
800,kmeans,782,274
1200,baseline_kmeanspp_one_shot,630,171
1200,baseline_length_buckets,1054,127
1200,baseline_pca1_buckets,911,127
1200,baseline_random_centroid,880,160
1200,baseline_shuffle_size,532,178
1200,baseline_uniform_random,632,164
1200,kmeans,797,166
