question_id,cluster_id
308,797
594,775
2688,247
3589,238
3798,990
8145,979
12855,639
12877,35
10499,880
9932,990
11055,296
14698,378
20081,940
18717,843
16568,751
22704,138
23472,342
20811,347
28009,38
26002,436
30062,426
33204,1001
27562,36
29699,536
28922,573
30775,224
31885,558
30790,842
37586,774
36813,432
29744,797
38801,150
41838,797
42483,168
36825,1126
33903,1023
39576,444
39438,926
43866,1152
47225,221
38435,541
39777,80
42386,89
41781,386
47279,1065
43819,1132
40586,1027
44005,1179
38014,891
44224,342
49602,5
38074,147
48486,262
46380,1138
47366,797
19058,577
26746,612
51092,901
52239,152
53365,651
53316,923
43808,318
49355,77
51264,164
51470,128
53379,309
53676,944
55342,593
55899,142
56591,19
57878,830
57179,83
58831,312
56895,143
58540,872
59232,146
59303,217
64875,460
61963,153
62876,464
64781,900
65447,424
67557,392
66542,1023
67666,1037
69230,885
70170,77
70072,1023
70602,558
69764,342
70742,589
71563,926
70721,442
73037,611
72151,1035
74010,728
73751,401
73607,709
75267,1
75959,842
79241,38
78952,558
78626,1023
79229,432
79266,1090
80612,661
81587,912
83040,904
83130,491
83122,774
81448,53
82047,1162
83050,362
82235,726
83068,442
83856,343
83991,136
84782,349
83807,1191
82644,165
83967,303
84661,70
85006,997
85978,1177
85804,478
86987,1102
86684,1013
85675,914
87230,48
87769,201
87883,541
87603,477
87877,928
89696,495
89320,1179
93539,792
95578,470
95950,614
96945,269
101033,757
101184,972
101046,330
101834,262
104066,322
102477,1090
102881,472
104791,1013
105836,609
103389,508
106323,1182
111440,205
114910,448
112812,214
115503,269
116173,165
116639,464
117248,123
116525,375
116760,686
116522,236
117512,80
116938,1185
118367,663
119011,426
118190,1122
120001,1096
120504,261
119540,221
120900,1006
121387,514
122302,411
121350,57
122736,181
122772,1034
123421,56
123039,205
121631,185
122215,355
122909,1031
126421,56
126188,262
126652,776
126720,661
128232,950
129046,1147
128527,309
128623,34
131164,402
130500,35
131142,342
132409,438
133993,277
134456,1011
134958,809
136034,133
137497,906
138747,189
140153,797
139909,1126
140643,339
141232,38
142211,421
142868,939
144175,683
144113,666
144200,438
144167,793
143872,741
147921,138
148136,633
149078,639
148262,944
148648,589
150177,1076
151190,591
152837,247
152435,589
152537,576
152441,342
153151,855
153095,77
153815,223
154722,969
155367,885
156032,713
155334,266
156329,356
156697,460
157845,517
158310,1184
158189,492
158571,123
159769,751
161093,961
159721,1027
160904,89
162255,979
162762,370
163389,693
163980,436
165365,75
166270,83
167916,352
165105,939
166836,221
167471,735
171868,99
169989,392
172278,950
172948,30
173629,83
174297,213
174595,751
174912,457
175055,621
174727,510
177240,830
177284,50
177752,783
179849,56
179365,669
179839,738
180518,185
181344,613
181272,235
181778,344
182262,930
182534,824
182931,606
182073,621
183021,64
182544,658
183642,1191
183963,64
185327,691
185638,138
185621,1097
186443,371
186403,53
188118,139
187474,492
187886,643
188099,112
187988,1147
189213,514
189557,1138
190693,87
