question_id,cluster_id
308,816
594,406
2688,544
3589,980
3798,330
8145,1044
12855,563
12877,47
10499,1061
9932,15
11055,870
14698,895
20081,757
18717,187
16568,403
22704,262
23472,225
20811,215
28009,548
26002,190
30062,655
33204,393
27562,258
29699,409
28922,709
30775,726
31885,574
30790,77
37586,606
36813,1081
29744,816
38801,804
41838,816
42483,537
36825,269
33903,1011
39576,534
39438,225
43866,1138
47225,432
38435,309
39777,572
42386,862
41781,638
47279,508
43819,384
40586,718
44005,93
38014,558
44224,225
49602,863
38074,1125
48486,508
46380,342
47366,816
19058,277
26746,1125
51092,1041
52239,116
53365,220
53316,811
43808,1038
49355,477
51264,339
51470,482
53379,212
53676,108
55342,218
55899,526
56591,1006
57878,954
57179,56
58831,285
56895,471
58540,1036
59232,516
59303,49
64875,748
61963,70
62876,15
64781,1098
65447,241
67557,1048
66542,225
67666,692
69230,535
70170,755
70072,225
70602,574
69764,225
70742,1014
71563,613
70721,284
73037,629
72151,1034
74010,1065
73751,763
73607,433
75267,655
75959,77
79241,106
78952,262
78626,876
79229,1081
79266,304
80612,726
81587,473
83040,58
83130,479
83122,1099
81448,392
82047,694
83050,773
82235,160
83068,284
83856,1076
83991,492
84782,670
83807,676
82644,77
83967,303
84661,672
85006,311
85978,256
85804,218
86987,57
86684,183
85675,155
87230,284
87769,780
87883,309
87603,670
87877,572
89696,1024
89320,93
93539,936
95578,699
95950,10
96945,594
101033,329
101184,426
101046,255
101834,508
104066,143
102477,168
102881,54
104791,894
105836,1157
103389,115
106323,601
111440,150
114910,305
112812,242
115503,273
116173,77
116639,565
117248,323
116525,1131
116760,118
116522,715
117512,849
116938,257
118367,201
119011,948
118190,1078
120001,410
120504,662
119540,432
120900,931
121387,17
122302,36
121350,485
122736,419
122772,286
123421,508
123039,545
121631,281
122215,674
122909,565
126421,508
126188,508
126652,349
126720,404
128232,1112
129046,954
128527,212
128623,886
131164,1119
130500,262
131142,225
132409,1039
133993,741
134456,961
134958,396
136034,394
137497,1130
138747,611
140153,241
139909,47
140643,36
141232,106
142211,116
142868,325
144175,834
144113,969
144200,606
144167,332
143872,42
147921,262
148136,955
149078,563
148262,108
148648,225
150177,490
151190,763
152837,544
152435,672
152537,1089
152441,225
153151,56
153095,755
153815,1090
154722,168
155367,535
156032,384
155334,357
156329,1108
156697,932
157845,262
158310,1160
158189,767
158571,323
159769,403
161093,1158
159721,868
160904,709
162255,1014
162762,558
163389,111
163980,574
165365,206
166270,119
167916,1097
165105,325
166836,432
167471,730
171868,526
169989,1048
172278,139
172948,881
173629,119
174297,11
174595,249
174912,744
175055,1068
174727,870
177240,954
177284,883
177752,210
179849,432
179365,310
179839,330
180518,281
181344,593
181272,115
181778,980
182262,16
182534,508
182931,254
182073,288
183021,292
182544,887
183642,289
183963,292
185327,617
185638,262
185621,133
186443,1024
186403,392
188118,332
187474,767
187886,872
188099,920
187988,246
189213,1166
189557,342
190693,321
193107,265
191640,709
193215,409
192655,188
192756,922
194352,262
195410,535
196247,508
196171,603
197097,611
197033,526
198108,49
198952,73
198551,1014
199537,393
198703,288
200056,1024
199508,1014
200513,373
201185,377
202609,354
203376,225
201288,464
203469,560
202623,563
204336,726
203484,603
202456,432
204549,318
203493,709
205136,218
205160,284
205736,339
205351,434
206055,558
205950,5
205304,1110
206222,659
207337,1044
207025,219
208666,187
207801,508
208493,374
208236,528
209128,34
208295,217
208811,276
210882,1085
211133,404
211959,932
213151,687
212264,106
213476,940
214930,225
216601,508
218561,1093
218332,38
219482,293
219982,259
220119,31
222792,1048
223238,73
221822,545
221909,948
223096,1027
222339,1085
223921,549
226016,686
228221,1045
230348,763
230085,832
230037,853
230196,263
230248,1110
230927,665
231812,853
232961,549
234606,408
234039,410
233870,429
233564,563
234657,20
234622,710
234532,363
238488,20
237327,587
238956,150
239622,895
239934,108
240354,242
240393,415
240046,686
240182,334
240788,848
240341,845
240765,1163
241361,1061
241622,966
242016,369
243528,572
242771,1036
243510,717
244087,253
243790,323
244671,605
246017,426
247090,503
247317,344
248046,900
248761,495
250545,980
249865,564
250816,574
250509,265
250792,526
251060,269
251069,816
251172,246
251409,821
251648,823
251651,228
251902,171
253563,284
253881,98
253971,464
254213,212
254697,141
256700,1130
256956,754
257324,659
258134,187
259860,594
260200,508
259943,490
260679,730
261064,980
261924,299
261068,188
262325,39
262278,41
262338,910
263836,694
265122,84
264914,870
265690,255
266546,846
267792,980
268429,494
269093,849
269145,816
269570,906
270127,668
269466,746
270695,1045
270552,501
272779,188
271953,503
273929,670
274822,327
277744,465
277665,65
278189,709
278882,802
278871,636
278848,998
282222,1142
282067,193
283589,485
282659,853
283061,315
284382,722
284653,950
284344,692
285098,330
285162,762
285394,821
285477,957
286091,225
286946,1017
287409,816
286549,171
287563,254
288381,344
288007,707
288402,823
287783,49
288755,1106
288988,999
289523,13
291493,289
291172,612
292809,56
294741,1002
293600,233
295009,168
294465,268
296097,393
296001,1006
296736,652
296263,616
297465,171
297392,84
297671,678
297840,700
299176,192
299760,606
299770,30
299002,606
298648,410
299504,344
303099,407
301817,364
302219,762
301366,242
301369,979
303218,1114
303940,616
304716,225
305568,37
304960,868
305349,487
305846,215
305864,386
306433,174
305797,174
308339,987
306871,954
308833,821
308924,96
308793,1066
308963,848
307636,1125
311184,210
312454,1110
313321,213
314307,393
314305,578
315919,1138
316812,1044
317576,484
317001,323
318665,190
320299,255
320725,834
321455,1082
323629,13
323690,856
324178,323
325041,392
325826,549
324044,408
325503,908
325852,146
326425,332
327777,452
330117,310
331073,722
331456,475
331114,284
332492,987
332985,850
333529,215
334625,831
335192,939
337179,255
337305,508
337335,188
337769,126
338609,581
338875,119
341055,1159
340139,233
343004,872
343902,220
344225,930
343299,1137
346138,1164
346033,314
347238,432
347160,1169
349845,447
349886,108
350860,632
351657,701
351779,811
351375,548
351489,243
351339,357
353019,408
353322,1024
354226,1099
354870,256
355102,1024
355538,464
356675,355
357328,187
357048,943
358135,472
358004,404
359733,535
360294,935
360154,225
361304,1045
361175,20
362556,285
362641,894
364107,445
364867,190
364101,314
365168,42
365238,820
365656,241
369187,408
369266,537
369010,241
369356,933
370425,262
370087,579
370818,1114
370813,980
372114,565
371752,167
372401,168
373421,636
373914,1012
374924,318
375458,501
375313,811
375768,687
375968,82
377464,766
378299,92
377745,932
377974,281
379164,558
379594,831
379556,6
379643,41
379672,503
380540,121
380694,453
381231,352
382214,1137
383783,145
382720,226
383321,1025
385656,6
386245,980
386555,526
387342,292
388387,190
389535,250
389692,868
391618,262
391000,607
390945,712
391036,868
392011,309
391292,877
391874,176
393679,587
393678,160
397789,749
397631,457
398664,392
401079,151
400255,1029
402119,939
403924,924
404581,449
405679,538
405889,872
407027,748
407639,537
407529,567
411820,20
410951,1138
412811,606
414072,876
414541,681
414817,392
415779,1075
416292,797
417178,184
417426,1036
417305,987
417764,545
418318,457
421973,430
423182,3
425025,225
425029,1061
424564,6
426079,708
427448,169
427383,1127
427736,1120
427447,237
426368,979
429777,549
429684,111
430274,421
429508,551
431076,652
433009,956
433689,1110
435114,667
434061,225
435109,93
437506,538
437670,112
438547,55
439138,55
439152,421
439326,116
440135,134
441302,421
441021,776
440779,987
442634,526
442697,633
444243,119
444820,159
444741,284
445455,670
445856,295
447608,54
448077,1036
447983,24
448821,920
448618,352
449922,419
450581,420
449882,560
450637,990
451047,1110
451449,662
451856,78
452464,990
452475,554
453849,1036
454624,56
454582,720
456321,1147
456532,1075
456684,1164
457933,305
459431,579
462471,709
461985,709
461004,297
461730,1116
461970,538
467420,330
466159,1099
466963,218
467329,110
468990,570
470542,403
471475,237
473201,125
473527,718
473874,682
478410,177
479408,616
481335,320
482647,1017
482046,1012
483940,313
483936,682
484242,406
486452,358
488108,966
489441,802
490054,376
491838,694
491373,1127
491876,1127
491343,563
492563,1056
492705,643
493492,168
495603,636
495909,574
495465,935
495376,556
497214,870
499171,816
499328,987
501625,708
503003,47
504060,517
506176,712
506456,1146
507139,768
507504,484
508252,1127
509048,999
509580,357
511534,900
512371,528
513317,790
515278,576
515532,352
517557,421
520041,69
519797,225
520776,222
521278,1098
520869,255
521490,682
522634,949
524871,251
525156,116
527991,749
528676,236
529471,241
529654,345
529428,772
529573,1110
529537,762
528502,473
529098,412
531222,393
531488,877
531708,265
531969,325
532037,106
532401,694
532177,775
532911,292
533376,7
533932,56
534217,467
536516,643
536741,508
537319,853
536712,31
537845,276
539692,734
539730,310
540136,1085
540856,589
540371,565
540617,432
541128,606
541466,343
542340,108
542904,271
542419,383
543311,704
545938,1085
547235,815
550543,133
551987,643
553263,613
554115,171
556072,1080
556325,352
559401,1000
559759,433
560273,816
561836,833
562579,222
561837,778
562607,966
562361,406
562926,369
563090,763
563589,1110
564450,947
565792,1045
565681,451
565912,284
567195,686
568251,1070
569271,922
570090,432
571434,432
571007,408
570840,284
570983,980
571051,638
571758,246
576802,228
577005,613
577625,47
578957,1121
579130,1078
578272,946
578310,755
580670,63
581509,56
582002,439
582280,889
582574,352
582163,421
584631,320
583141,160
585020,289
585090,918
586444,225
586088,752
587863,851
588286,320
588430,470
589043,42
589253,1070
589554,114
590551,97
591112,273
591467,79
590669,1130
593197,987
592476,430
592444,1132
593643,343
595072,609
595495,1071
595350,408
596841,1005
597982,211
597022,741
603245,932
603504,891
603165,225
604598,1087
604996,1116
605925,329
605253,433
605949,1090
606234,306
607045,403
607227,911
608271,329
610056,178
611680,1059
611676,444
613059,1085
615428,1115
618279,877
620041,334
620229,352
621439,613
621511,821
622289,1146
623028,464
626865,225
625743,37
626267,315
630102,445
630847,374
630881,225
631518,108
633642,481
633853,433
633173,767
635047,388
635848,401
634840,1177
635562,749
636886,709
638091,70
637803,694
638705,999
639757,401
639949,609
640390,246
640866,309
642035,1007
642055,1090
643475,236
643137,601
643508,146
643280,441
644975,251
648220,475
650098,999
651385,761
652428,506
653521,220
654702,699
655430,535
655449,57
654852,692
656162,218
657336,136
657623,574
657507,369
657639,877
657803,241
657787,357
658259,1119
659341,1127
660743,77
661297,699
661998,482
663187,763
663250,625
663492,748
663220,483
666554,1030
665903,638
668573,508
668734,410
668100,730
670922,211
671766,548
670461,501
673651,911
674137,388
675398,16
677052,435
676693,613
676187,70
676830,606
678060,594
678339,1137
679683,465
679684,65
680318,613
681144,58
681016,556
682539,399
682773,574
682370,1120
681559,406
684352,463
684443,1013
684590,652
685106,980
685381,538
685850,213
685511,119
685902,118
685512,176
686336,748
687018,928
686297,70
687299,106
687510,929
687882,22
687866,89
688537,471
689807,613
690166,311
691113,565
691562,717
692439,77
692202,709
691917,330
693269,853
693733,549
694133,980
697083,508
697256,772
698397,700
698908,622
697671,1131
698339,3
698489,1100
699329,1041
700658,1043
702500,1022
702358,574
702046,574
702508,526
703449,845
704127,225
704772,1061
704642,77
706026,816
706503,916
705823,556
709652,889
710290,715
711575,537
713214,329
713976,432
714992,1014
715811,535
717161,490
718239,225
721556,446
721810,613
721852,225
722113,1075
722708,1
723223,288
724076,1085
724516,710
727655,752
728378,181
727065,773
729616,432
730884,525
729488,348
730621,49
731413,256
733652,553
733979,738
735778,36
736531,928
735139,410
737065,932
741402,225
743772,248
743031,175
743183,1101
743495,969
743868,119
744058,393
744995,768
747390,5
747868,116
748248,241
748723,890
749968,225
750571,802
750718,1101
752382,435
752284,1054
754335,650
755207,288
755228,501
756065,950
756137,58
756558,701
756208,853
756036,628
757957,937
758771,331
758823,933
760568,89
758442,432
760767,190
760821,578
761204,262
761418,344
761546,1061
761557,463
762434,121
763802,657
764065,61
764887,463
764916,344
764871,268
767915,712
768130,643
768920,65
769069,194
769787,708
769674,916
770300,1002
771695,204
771265,179
772518,989
773387,184
772434,565
771739,700
773515,1125
773928,979
774550,392
774326,606
775106,508
775787,376
775191,767
776355,462
776228,310
777778,903
777284,746
778355,403
780639,944
781224,115
781634,344
783070,1015
782389,29
782181,919
782465,1101
782928,849
783408,574
783283,461
783660,662
785765,24
785583,281
785544,537
786733,826
787167,9
788136,479
789059,77
790420,188
793487,15
793988,56
794910,42
796244,1068
796089,1028
799151,752
798766,1012
800347,1122
801379,587
801586,525
801805,1070
801639,1000
802564,408
803618,822
803298,350
804721,190
807163,38
806968,226
808513,613
809247,1012
808856,1005
809056,440
809777,125
810919,766
810853,721
811481,357
812740,39
813130,623
815005,595
816365,771
816234,352
816851,131
817472,908
819980,1015
819457,195
820440,310
820077,225
821078,654
821479,237
823612,898
824139,726
825072,771
825121,434
824855,1121
825053,526
824931,467
826044,116
827108,253
827123,870
828399,408
828650,565
828830,262
828871,321
829622,286
829302,212
830378,889
829805,710
829959,508
831061,528
831188,305
832695,119
832118,277
831997,30
831684,408
832160,429
831849,508
834439,225
834702,403
835387,296
835779,220
835769,361
836735,845
836439,734
837306,16
836771,239
837285,133
838699,47
839134,478
839154,1112
840577,607
840118,709
840040,92
840679,1014
840966,565
841003,458
841388,987
842530,102
843242,886
845539,1012
846678,525
846786,96
848166,643
848637,1106
848217,317
851837,931
851675,81
851857,980
852261,699
851956,1061
853409,957
852828,1099
853547,374
853495,281
855422,249
856358,679
855556,69
855702,225
856773,949
857059,441
856817,271
857744,31
858078,767
859255,516
859452,980
859039,816
859491,558
860214,393
860782,326
860450,710
860378,468
861579,393
862036,385
860516,531
862694,856
861983,589
862355,831
862843,95
863390,310
863848,1114
864172,426
864695,329
864855,123
864715,1110
865586,872
866060,508
867042,256
867388,490
867757,852
868575,1068
867731,20
868346,479
868629,574
869055,802
869390,73
870165,687
870528,816
870819,1025
871578,484
872770,1125
875018,464
876922,1055
877716,574
877181,187
878183,528
879593,168
879189,248
880230,834
882466,419
881717,558
882027,38
883099,775
883634,246
883706,534
883946,699
885187,1085
885686,868
885304,504
886597,713
886593,1044
887870,491
890035,791
889102,218
891286,953
891703,102
892262,42
891833,6
891919,458
891458,122
892215,1112
892429,583
892923,49
893118,572
893424,262
893767,245
895839,542
896319,406
896330,944
896825,574
896653,320
899318,452
898872,1013
